x,y
7.965,-6.047
7.971,-6.039
7.977,-6.031
7.983,-6.023
7.989,-6.015
7.995,-6.007
8.001,-5.999
8.007,-5.991
8.013,-5.983
8.019,-5.975
8.025,-5.967
8.031,-5.959
8.037,-5.951
8.043,-5.943
8.049,-5.935
8.055,-5.927
8.061,-5.919
8.066,-5.911
8.072,-5.903
8.078,-5.895
8.084,-5.887
8.09,-5.879
8.096,-5.871
8.101,-5.863
8.107,-5.855
8.113,-5.847
8.119,-5.839
8.125,-5.831
8.13,-5.823
8.136,-5.815
8.142,-5.807
8.147,-5.799
8.153,-5.791
8.159,-5.783
8.164,-5.775
8.17,-5.767
8.176,-5.759
8.181,-5.751
8.187,-5.743
8.193,-5.735
8.198,-5.727
8.204,-5.719
8.209,-5.711
8.215,-5.703
8.22,-5.695
8.226,-5.687
8.231,-5.679
8.237,-5.671
8.242,-5.663
8.248,-5.655
8.253,-5.647
8.259,-5.639
8.264,-5.631
8.27,-5.623
8.275,-5.615
8.281,-5.607
8.286,-5.599
8.292,-5.591
8.297,-5.583
8.302,-5.575
8.308,-5.567
8.313,-5.559
8.318,-5.551
8.324,-5.543
8.329,-5.535
8.334,-5.527
8.34,-5.519
8.345,-5.511
8.35,-5.503
8.355,-5.495
8.361,-5.487
8.366,-5.479
8.371,-5.471
8.376,-5.463
8.382,-5.455
8.387,-5.447
8.392,-5.439
8.397,-5.431
8.402,-5.423
8.408,-5.415
8.413,-5.407
8.418,-5.399
8.423,-5.391
8.428,-5.383
8.433,-5.375
8.438,-5.367
8.443,-5.359
8.448,-5.351
8.453,-5.343
8.459,-5.335
8.464,-5.327
8.469,-5.319
8.474,-5.311
8.479,-5.303
8.484,-5.295
8.489,-5.287
8.494,-5.279
8.499,-5.271
8.503,-5.263
8.508,-5.255
8.513,-5.247
8.518,-5.239
8.523,-5.231
8.528,-5.223
8.533,-5.215
8.538,-5.207
8.543,-5.199
8.548,-5.191
8.552,-5.183
8.557,-5.175
8.562,-5.167
8.567,-5.159
8.572,-5.151
8.577,-5.143
8.581,-5.135
8.586,-5.127
8.591,-5.119
8.596,-5.111
8.6,-5.103
8.605,-5.095
8.61,-5.087
8.615,-5.079
8.619,-5.071
8.624,-5.063
8.629,-5.055
8.633,-5.047
8.638,-5.039
8.643,-5.031
8.647,-5.023
8.652,-5.015
8.657,-5.007
8.661,-4.999
8.666,-4.991
8.671,-4.983
8.675,-4.975
8.68,-4.967
8.684,-4.959
8.689,-4.951
8.693,-4.943
8.698,-4.935
8.702,-4.927
8.707,-4.919
8.712,-4.911
8.716,-4.903
8.721,-4.895
8.725,-4.887
8.729,-4.879
8.734,-4.871
8.738,-4.863
8.743,-4.855
8.747,-4.847
8.752,-4.839
8.756,-4.831
8.761,-4.823
8.765,-4.815
8.769,-4.807
8.774,-4.799
8.778,-4.791
8.782,-4.783
8.787,-4.775
8.791,-4.767
8.795,-4.759
8.8,-4.751
8.804,-4.743
8.808,-4.735
8.813,-4.727
8.817,-4.719
8.821,-4.711
8.826,-4.703
8.83,-4.695
8.834,-4.687
8.838,-4.679
8.843,-4.671
8.847,-4.663
8.851,-4.655
8.855,-4.647
8.859,-4.639
8.864,-4.631
8.868,-4.623
8.872,-4.615
8.876,-4.607
8.88,-4.599
8.884,-4.591
8.888,-4.583
8.893,-4.575
8.897,-4.567
8.901,-4.559
8.905,-4.551
8.909,-4.543
8.913,-4.535
8.917,-4.527
8.921,-4.519
8.925,-4.511
8.929,-4.503
8.933,-4.495
8.937,-4.487
8.941,-4.479
8.945,-4.471
8.949,-4.463
8.953,-4.455
8.957,-4.447
8.961,-4.439
8.965,-4.431
8.969,-4.423
8.973,-4.415
8.977,-4.407
8.981,-4.399
8.985,-4.391
8.989,-4.383
8.993,-4.375
8.997,-4.367
9.0,-4.359
9.004,-4.351
9.008,-4.343
9.012,-4.335
9.016,-4.327
9.02,-4.319
9.024,-4.311
9.027,-4.303
9.031,-4.295
9.035,-4.287
9.039,-4.279
9.043,-4.271
9.046,-4.263
9.05,-4.255
9.054,-4.247
9.058,-4.239
9.061,-4.231
9.065,-4.223
9.069,-4.215
9.072,-4.207
9.076,-4.199
9.08,-4.191
9.084,-4.183
9.087,-4.175
9.091,-4.167
9.095,-4.159
9.098,-4.151
9.102,-4.143
9.106,-4.135
9.109,-4.127
9.113,-4.119
9.116,-4.111
9.12,-4.103
9.124,-4.094
9.128,-4.086
9.131,-4.078
9.135,-4.07
9.138,-4.062
9.142,-4.054
9.145,-4.046
9.149,-4.038
9.152,-4.03
9.156,-4.022
9.16,-4.014
9.163,-4.006
9.167,-3.998
9.17,-3.99
9.173,-3.982
9.177,-3.974
9.18,-3.966
9.184,-3.958
9.187,-3.95
9.191,-3.942
9.194,-3.934
9.198,-3.926
9.201,-3.918
9.204,-3.91
9.208,-3.902
9.211,-3.894
9.215,-3.886
9.218,-3.878
9.221,-3.87
9.225,-3.862
9.228,-3.854
9.231,-3.846
9.235,-3.838
9.238,-3.83
9.241,-3.822
9.245,-3.814
9.248,-3.806
9.251,-3.798
9.254,-3.79
9.258,-3.782
9.261,-3.774
9.264,-3.766
9.268,-3.758
9.271,-3.75
9.274,-3.742
9.277,-3.734
9.28,-3.726
9.284,-3.718
9.287,-3.71
9.29,-3.702
9.293,-3.694
9.296,-3.686
9.3,-3.678
9.303,-3.67
9.306,-3.662
9.309,-3.654
9.312,-3.646
9.315,-3.638
9.318,-3.63
9.322,-3.622
9.325,-3.614
9.328,-3.606
9.331,-3.598
9.334,-3.59
9.337,-3.582
9.34,-3.574
9.343,-3.566
9.346,-3.558
9.349,-3.55
9.352,-3.542
9.355,-3.534
9.358,-3.526
9.361,-3.518
9.364,-3.51
9.367,-3.502
9.37,-3.494
9.373,-3.486
9.376,-3.478
9.379,-3.47
9.382,-3.462
9.385,-3.454
9.388,-3.446
9.391,-3.438
9.394,-3.43
9.397,-3.422
9.4,-3.414
9.403,-3.406
9.405,-3.398
9.408,-3.39
9.411,-3.382
9.414,-3.374
9.417,-3.366
9.42,-3.358
9.423,-3.35
9.426,-3.342
9.428,-3.334
9.431,-3.326
9.434,-3.318
9.437,-3.31
9.44,-3.302
9.442,-3.294
9.445,-3.286
9.448,-3.278
9.451,-3.27
9.454,-3.262
9.456,-3.254
9.459,-3.246
9.462,-3.238
9.464,-3.23
9.467,-3.222
9.47,-3.214
9.473,-3.206
9.475,-3.198
9.478,-3.19
9.481,-3.182
9.483,-3.174
9.486,-3.166
9.489,-3.158
9.491,-3.15
9.494,-3.142
9.497,-3.134
9.499,-3.126
9.502,-3.118
9.505,-3.11
9.507,-3.102
9.51,-3.094
9.512,-3.086
9.515,-3.078
9.518,-3.07
9.52,-3.062
9.523,-3.054
9.525,-3.046
9.528,-3.038
9.53,-3.03
9.533,-3.022
9.535,-3.014
9.538,-3.006
9.541,-2.998
9.543,-2.99
9.546,-2.982
9.548,-2.974
9.551,-2.966
9.553,-2.958
9.555,-2.95
9.558,-2.942
9.56,-2.934
9.563,-2.926
9.565,-2.918
9.568,-2.91
9.57,-2.902
9.573,-2.894
9.575,-2.886
9.577,-2.878
9.58,-2.87
9.582,-2.862
9.585,-2.854
9.587,-2.846
9.589,-2.838
9.592,-2.83
9.594,-2.822
9.596,-2.814
9.599,-2.806
9.601,-2.798
9.603,-2.79
9.606,-2.782
9.608,-2.774
9.61,-2.766
9.613,-2.758
9.615,-2.75
9.617,-2.742
9.62,-2.734
9.622,-2.726
9.624,-2.718
9.626,-2.71
9.629,-2.702
9.631,-2.694
9.633,-2.686
9.635,-2.678
9.637,-2.67
9.64,-2.662
9.642,-2.654
9.644,-2.646
9.646,-2.638
9.648,-2.63
9.651,-2.622
9.653,-2.614
9.655,-2.606
9.657,-2.598
9.659,-2.59
9.661,-2.582
9.664,-2.574
9.666,-2.566
9.668,-2.558
9.67,-2.55
9.672,-2.542
9.674,-2.534
9.676,-2.526
9.678,-2.518
9.68,-2.51
9.682,-2.502
9.685,-2.494
9.687,-2.486
9.689,-2.478
9.691,-2.47
9.693,-2.462
9.695,-2.454
9.697,-2.446
9.699,-2.438
9.701,-2.43
9.703,-2.422
9.705,-2.414
9.707,-2.406
9.709,-2.398
9.711,-2.39
9.713,-2.382
9.715,-2.374
9.717,-2.366
9.719,-2.358
9.72,-2.35
9.722,-2.342
9.724,-2.334
9.726,-2.326
9.728,-2.318
9.73,-2.31
9.732,-2.302
9.734,-2.294
9.736,-2.286
9.738,-2.278
9.739,-2.27
9.741,-2.262
9.743,-2.254
9.745,-2.246
9.747,-2.238
9.749,-2.23
9.751,-2.222
9.752,-2.214
9.754,-2.206
9.756,-2.198
9.758,-2.19
9.76,-2.182
9.761,-2.174
9.763,-2.166
9.765,-2.158
9.767,-2.15
9.768,-2.142
9.77,-2.134
9.772,-2.126
9.774,-2.118
9.775,-2.11
9.777,-2.102
9.779,-2.094
9.781,-2.086
9.782,-2.078
9.784,-2.07
9.786,-2.062
9.787,-2.054
9.789,-2.045
9.791,-2.037
9.792,-2.029
9.794,-2.021
9.796,-2.013
9.797,-2.005
9.799,-1.997
9.801,-1.989
9.802,-1.981
9.804,-1.973
9.806,-1.965
9.807,-1.957
9.809,-1.949
9.81,-1.941
9.812,-1.933
9.813,-1.925
9.815,-1.917
9.817,-1.909
9.818,-1.901
9.82,-1.893
9.821,-1.885
9.823,-1.877
9.824,-1.869
9.826,-1.861
9.827,-1.853
9.829,-1.845
9.83,-1.837
9.832,-1.829
9.833,-1.821
9.835,-1.813
9.836,-1.805
9.838,-1.797
9.839,-1.789
9.841,-1.781
9.842,-1.773
9.844,-1.765
9.845,-1.757
9.846,-1.749
9.848,-1.741
9.849,-1.733
9.851,-1.725
9.852,-1.717
9.853,-1.709
